"rand_index","index","translation","reference_translation","accuracy"
134,224,"Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter die Reaktionen von Individuen auf Opowers HER im Bezug auf ihren Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
135,47,"Ein weiteres Ziel dieses Artikels ist es, die mö","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
136,309,"In diesem Paper werden die ersten Ergebnisse dieser beiden Aufgaben präsentiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
137,472,"Dies beachtend, ist das Ziel vom Projekt (finanziert von der EU Kommission unter dem Grant Agreement n. 12345), mit dem Energy Consumption Research Institute als Partner, ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
138,277,"Energiearmut ist eines der Hauptprobleme in Europa, von welchem  bis  Millionen Menschen auf sozialer, technischer und ausführender Ebene betroffen sind.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
139,16,"In dieser Publikation wird erforscht, ob soziale Vergleiche das Energiesparen begünstigen, und ob dies von der Grundeinstellung zum Umweltschutz beeinflusst wird. ","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
140,335,"Energiearmut ist eines der grösstem sozialen, technischen und legislativn Probleme zurzeit in Europa. Die geschätzte Zahl der von Energiearmut Betroffenen beträgt  50bis 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
141,118,"In diesem Paper anaylsieren wir, ob Sozialvergleiche einen Effekt auf den Wasserverbrauch haben, und ob dieser Effekt davon abhängig ist, wie stark eine Person ökologische Wertvorstelungen gewichten.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
142,60,"Der Einfluss soziales Informationen auf das Verhalten einer Person wurde bereits in den unterschiedlichsten Feldern nachgewiesen.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
143,91,"Die Analyse kombiniert Daten aus einem grossen randomized Programm, das von Opower in Italien durchgeführt wurde und bei dem die Studiendaten von Energieverbrauchern gesammelt wurden.","Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.",""
144,295,"In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
145,105,"Die Arbeit hat ausserdem zum Ziel, mögliche Mechanismen auszutesten, um HER effizient zu machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
146,387,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgefhrt wurde, um zu verstehen, wie ein ""energiearmer"" oder ""energiegefährdeter"" Verbraucher zu definieren ist, da eine allgemeine europäische Definition nicht existiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
147,24,"Eine weitere wichtige Lücke in der Forschung ist das Verstehen der Mechanik hinter den individuellen Reaktionen zu Opowers HER bezüglich der Enrgienutzung.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
148,43,"Des Weiteren wurde in der Forschung die Mechanismen hinter der individuellen Reaktion auf den Opower Home Energy Report (HER) im Bereich des Energieverbrauchs noch nicht genügend untersucht.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
149,164,"Ein weiteres Ziel dieses Berichts besteht darin, mögliche Mechanismen auszuwerten, wie HER wirksamer werden kann.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
150,430,"Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme in Europa derzeit, mit einer geschätzten Anzahl Betroffener von 50 bis 125 Millionen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
151,518,"Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
152,85,"Ein zweites Ziel dieser Arbeit ist das Testen von möglichen Menchanismen, um den HER wirksam zu machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
153,264,"Trotz wachsendem Interesse an Soial Comparion Research bleiben mehrere Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
154,451,"Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptprobleme im heutigen Europa mit einer geschätzten Zahl von betroffenen von 50 bis 125 Millionen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
155,405,"Um diese Hürde zu beseitigen, ist es notwendig, den Hintergrund, vor dem die Pilotprojekte umgesetzt werden sollen (die Situation in den jeweiligen ","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
156,515,"Es tut dies mit dem Einsatz einer Serie von Pilotaktionen mit einer Gruppe von Beratern namens HEAs (Home Energy Advisors).","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
157,173,"Eine stärkere Auffassung der Norm, Energie zu sparen, kann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
158,22,"Während das konservationsverhalten der Menschen mit hohe biosphährischen Ansprüchen gut dokumentiert ist in der Literatur, ist über diese Rückmeldung der Konsumenten zum Peervergleich wenig bekannt.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
159,19,"Ein weiteres Ziel dieses Artikels ist es potentielle Lösungsansätze zu bewerten","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
160,77,"So ist zum Beispiel relativ wenig über die Heterogenitätsquell","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
161,149,"Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen auszuwerten, um HER effektiver zu gestalten.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
162,262,"Der Einfluss gesellschaftlicher Informationen auf das Verhalten wurde in einer Anzahl verschiedener Settings gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
163,49,"Ein zweites Ziel dieser Studie ist es, mögliche Mechanismen zu testen, die den HER Report effektiv machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
164,58,"Der Einfluss der Erklärung von sozialen Verhaltensweisen wurde unter den verschiedensten Umständen nachgewiesen.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
165,341,"Einer der wichtigsten Punkte, die die EC anführt, ist die Wichtigkeit aus der Erfahrung und den besten Praktiken in den verschiedenen Mitgliedsstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
166,480,"Die Energiearmut ist eine der Hauptprobleme, die heute in Europa (sozial, technisch und legislativ). Mit einer geschätzten Anzahl von ungefähr 50 bis 125 Millionen Mensche.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
167,388,"Die grösste Hürde bei der Durchführung dieser Analyse besteht darin, dass die in der Regel für Standardindikatoren (z.B. nie","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
168,450,"Mit diesem Gedanken, das Projekt (gesponsert von der EU Kommission unter dem Einverständnis n. 12345) von dem das Energy Consumption Research Institute ein Partner ist, versucht die besten Praktiken und Empfehlungen um Energie Armut anzusprechen von ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
169,314,"Mit einer geschätzten Anzahl betroffener Personen von 50 bis 125 Millionen ist Energieknappheit eines der Hauptprobleme im sozialen, technischen und legislativen Bereich der heutigen Zeit in Europa.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
170,155,"Der HER führt verschiedene Elemente auf, vom einem statischen Nachbarschaftsvergleich des Energievrbrauchs (deskriptive Norm) über Rückmeldungen zum individuellen Verhal","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
171,458,"Energiearmut ist eine der Grössten sozialen, technischen und gesetzlichen Probleme im heutigen Europa, mit einer geschätzten Anzahl von Betroffenen, die im Bereich von 50-125 Millionen liegt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
172,64,"In unserer Arbeit stellen wir die Vermutung auf, dass U","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
173,161,"Der HER enthält verschiedene Elemente: statischer Vergleich unter Nachbarn des Energieverbrauchs (eine deskriptive Norm), Feedback zur Eigenleistung (eine injunktive Form) sowie Tipps zum Energiesparen.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
174,227,"Eine andere, wichtige Lücke in der Forschung is das verstehen von Mechanismen welche hinter den Reaktionen zu Opower's HER stehen, im Zusammenhang mit deren Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
175,319,"In diesem Projekt ist das Energy Comsumption Research Institute für das technische Training der HEAs und die Planung der Pilotprojekte zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
176,46,"Der HER beinhaltet verschiedene Elemente, von einem statischen Vergleich zwischen Nachbarn in Hinblick auf deren Energienutzung (deskriptive Norm), über Feedbacks, wie gut die einzelnen Personen abschneiden (injunktive Norm), bis hin zu Tipps zum Energiesparen.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
177,271,"Die European Commission (EC) investierte viel, um dieses Problem zu lösen.  Dies zeigt zum Beispiel die aktuelle Einführung des EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
178,393,"Der erste Teil des Artikels fasst die Ergebnisse einer statistischen Untersuchung zusammen, die durchgeführt wurde, um die Begriffe ""energiearm"" oder ""energieempfindlich"" zu definieren, da es keine übergeordnete europäische Definition dafür gibt.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
179,184,"Ein weiteres Ziel dieses Artikels ist es, die möglichen Mechanismen einzuschätzen, die den HER effektiver machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
180,280,"Energiearmut ist eines der wichtigsten sozialen, technischen und rechtlichen Probleme im heutigen Europa mit einer Zahl von betroffenen Menschen die von 50 bis zu 125 Millionen steigt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
181,82,"Die Analyse kombiniert Daten aus einem randomisierten Programm, welches von Opower in Italien durchgeführt wurde, mit Umfragedaten, welche von Endvebrauchern gesammelt wurden.","Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.",""
182,442,"Energiearmut is eines der hauptsächlichen sozialen, technischen und legislativen Problemen der Gegenwart in Europe, mit einer Schätzung von betroffenen Personen von 50 bis 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
183,28,"Eine bewusstere Wahrnehmung einer Norm im Zusammenhang mit Energie sparen könnte den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
184,68,"Eine weitere wichtige Forschungslücke  sind das Verstehen der Mechanismen hinter der Reaktion eines Individuums auf den OPower Home Energy Report (HER) in Bezug auf den Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
185,476,"Der erste Teil der Arbeit fasst die Resultate einer für das Verständnis der Definition eines ""energiearmen"" oder ""","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
186,276,"Das grösste Problem ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
187,110,"Ein weiteres Ziel dieser Untersuchung ist, die möglichen Mechanismen  zu bewerten, mit welchen der HER wirksamer werden könnte.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
188,247,"Die Forschung zeigt, dass das Informieren der Leute, wie ihre Tätigkeiten im Verhältnis zu dem ähnlicher anderer stehen, dazu führt, dass sie ihren Energie- und Wasserverbrauch, ihre Beiträge zu wohltätigen Projekten und ihrer Sparentscheidungen anpassen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
189,504,"Energiearmut ist eines der wichtigsten sozialen, technischen und gesetzgeberischen Probleme in Europe in der Gegenwart, wobei die geschätzte Anzahl der Betroffenen von 50 bis 125 Millionen reicht.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
190,268,"Ein weiteres Ziel dieses Artikels ist es, mögliche Mechanismen zu testen, die HER effektiv machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
191,334,"Einer der wichtigen Punkte ist es, von der Erfahrungen von anderen Teilnehmerstaaten zu lernen, die dieses Programm eingeführt und getestet haben. ","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
192,407,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie ""energiearme"" oder ""energiegefährdete"" Verbraucher zu definieren sind, da keine gemeinsame europäische Definition existiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
193,327,"Dieses Schreiben präsentiert die Ergebnisse der beiden Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
194,406,"In dieser Arbeit werden die ersten Ergebnisse der vorher erwähnten Aufgaben gesammelt.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
195,294,"Unter diesen Rahmenbedingungen v","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
196,438,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben. ","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
197,123,"Forschungsergebnisse zeigen, dass Menschen, wenn man ihnen erzählt, wo ihre Handlungen im Vergleich zu anderen ähnlichen Personen stehen, ihren Energie- und Wasserverbrauch, ihren Beitrag für Wohltätigkeitszwecke und ihre Entscheidungen hinsichtlich Einsparungen ändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
198,175,"Der Einfluss sozialer Informationen auf das Verhalten wurde in unterschiedlichen Situationen aufgezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
199,489,"Zusätzlich führt die Erhältlichkeit von verschiedenen Daten in den EU Ländern zu einer r","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
200,98,"Es ist insbesondere wenig darüber bekannt über die Gründed der Heterogenität ","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
201,347,"Eines der wichtigsten Punkte, welche die EC betont hat, ist die Bedeutung von Erfahrungs- und Handlungswerten, die in verschiedenen Member states (MS) ausgeführt werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
202,237,"Trotz einem wachsendem Interesse in Sozialen Vergleich Versuchen, bleiben aber viele Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
203,208,"Im Besonderen ist relativ wenig bekannt über die Gründe der Heterogenität des Effektes eines bekannten Experiments sozialen Vergleichs, wie das, welches von Opower program durch die Home Electrity Report bereitgestellt wurde","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
204,246,"Der Einfluss von sozialer Information über Verhalten wurde in verschiedensten Settings aufgezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
205,361,"Energiearmut ist eine der grundlegenden sozialen, technischen und rechtlichen Herausforderungen in Europa heutzutage. Das Problem betrifft schätzungsweise  50 bis 125 Millionen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
206,467,"Einer der vom EC hervorgehebenen Punkte ist die Bedeutung von den Erfahrungen und den besten Gewohnheiten, der Mitgliedsstaaten, zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
207,323,"In diesem Projekt ist das Energy Consumption Research Institute verantwortlich für die technische Ausbildung der HEAs und für die Planung der Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
208,141,"Das HER-Programm enthält verschiedene Elemente, darunter einen statischen Vergleich des Energieverbrauchlevels zwischen Nachbarn (eine deskriptive Norm), Rückmeldungen zur individuellen Leistung (eine injunktive Norm) sowie Tipps zum Energiesparen.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
209,462,"Energie Armut ist eins der grössten sozialen, technischen und legalen Problemen in Europa in der heutigen Zeit, mit geschätzten 50 zu 125 Millionen Menschen die davon betroffen sind.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
210,204,"Der HER stärkt den Fokus der Menschen darauf, der Umwelt","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
211,289,"Eine der Punkte, die die EC betont, ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in anderen Mitgliedsstaaten (MS) verwendet werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
212,447,"Mit dem im Kopf, das Projekt das hier dargestellz wird  (geföhrdert durch die EU Kommission unter dem Grant Agreement no. 12345); von dem Das Energy Consumtion Research Institute ein Partner is, ziehlt darauf die besten Verhalten und ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
213,425,"Des Weiteren führt die unterschiedliche Datenlage in den EU-Ländern oftmals zu einer fragment","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
214,127,"Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm im Bereich Energiesparen verändert.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
215,382,"Die Europäische Komission hat in die Lösung dieses Problems viel investiert, was sich z.B. an der kürzlichen Lancierung des EU Energy Poverty Obeservatory im Januar 2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
216,324,"Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
217,197,"Zum Beispiel zeigt die Forschung, dass es Menschen dazu motiviert, ihren Energie- und Wasserverbrauch, ihren Beitrag für gemeinützige Fälle und ihre Entscheidungen, Energie zu sparen, anzupassen, wenn man sie mit den Akionen anderer, ihnen ähnliche Menschen, vergleict.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
218,136,"Ein zweites Ziel dieses Papers ist das Testen möglicher Mechanismen, die den HER effektiv machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
219,356,"Energiearmut ist eines der grössten sozialen, technischen  und gesetzgeberischen Probleme des heutigen Europa. Die Zahl der betroffenen Personen wird auf 50 bis 125 Millionen geschätzt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
220,75,"Die Forschung belegt, dass Menschen ihren Energie- und Wasserverbrauch, ihre Spenden für wohltätige Zwecke und ihre Sparmassnahmen anpassen, wenn ihnen die Verhaltensweisen von Menschen in ähnlichen Situationen vorgelegt werden.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
221,213,"Der Einfluss von sozialen Informationen auf das Verhalten wurde in zahlreichen Umgebungen gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
222,422,"Diese Studie fasst die ersten Ergebnisse zu den zuvor erwähnten Aufgaben zusammen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
