control_number;id;group;text;condition;sentence_nr;translation;reference_translation
77;CF2;TraStu;Text2;ELF;3;Die European Commission (EC) hat viel dafür getan, um dieses Problem zu lösen, wie beispielsweise die kürzliche Einführung der EU Energy Poverty Observatory im Januar 2018 gezeigt hat.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
78;CF2;TraStu;Text2;ELF;4;Eines der wichtigsten Punkte, welche die EC betont hat, ist die Bedeutung von Erfahrungs- und Handlungswerten, die in verschiedenen Member states (MS) ausgeführt werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
79;CF2;TraStu;Text2;ELF;5;In Hinblick darauf versucht das Projekt (gegründet durch die EU Comm;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
80;CF4;TraStu;Text2;SE;2;Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptproblematik im heutigen Europa. Es wird geschätzt, dass run 50 bis 125 Millionen Menschen davon betroffen sind.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
81;CF4;TraStu;Text2;SE;3;Die Europäische Kommission (EK) hat viel Mühe darin gesteckt, die Problematik zu lösen, wie sich am Beispiel des im Januar 2018 gestarteten EU Energy Poverty Observation zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
82;CF4;TraStu;Text2;SE;4;Ein Punkt, den die EK besonders hervorgehoben hat, ist die Bedeutung, die dem Lernen aus Erfahrung und aus den Best Practices aus den verschiedenen Mitgliedstaaten (MS) beigemesse;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
83;CF5;TraStu;Text2;SE;11;Die Hauptschwierigkeit bei der Durchführung dieser Analyse besteht darin, das die Daten, welche für Standardindikatoren (z. B. Tiefes Einkommen Hohe Kosten) nötig sind, in vielen Ländern nicht verfügbar sind, so dass neue Wege gefunden werden müssen, um eine Defintion für energieschwache Konsumenten zu finden.;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
84;CF5;TraStu;Text2;SE;12;Zusätzlich führen die Unterschiede in den Daten aus den EU-Ländern zu fragmentieren und oft unvergleichbarer Konsumentenssegmentierungen in den Mitgliedsstaaten.;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
85;CF5;TraStu;Text2;SE;13;Um dieses Hindernis zu umgehen, ist es wichtig, den Hintergrund vor dem die Versuchsaktionen eingesetzt werden werden, zu definieren (die Situation im untersuchten Mitgliedsstaat) und eine gezielte Marktsegmentierung anhand einer Analyse und Verbesserung existierender Datenbanken durchzuführen, so dass ähnliche und vergleichbare Indikatoren angwendet werden können.;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
86;CF5;TraStu;Text2;SE;14;Der zweite Teil des Papers fasst kurz das den HEAs angebotene Training zusammen, ;Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.
87;CF7;TraStu;Text2;ELF;12;Um diese Schranke zu überwinden ist es notwendig, den Hintergrund, in welchem die Pilothandlungen eingebettet werdensollen (die Situation in den analysierten MS) zu definieren und eine absichtliche Segmentierung auszuführen, indem man schon existierende statistische Datenbanken analysiert und erstellt, zu welchen ähnliche Indikatoren verwendbar sind. Die Indikatoren  sollen kompatibel mit der vorhandenen Information sein.;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
88;CF7;TraStu;Text2;ELF;13;Der zweite Teil dieser Arbeit führt kurz das Traing ein, welches den HEAs vorgestellt werden wird, um die Kompetenzen aufzuzeigen, welche eine Voraussetzung für ein HEA sind, der einen vulnerablen Konsumenten oder eine vulnerable Familie nähern will und wie man diese kostruiert.;Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.
89;CI0;TraPro;Text2;SE;2;Energiearmut ist eines der grössten sozialen, technischen  und gesetzgeberischen Probleme des heutigen Europa. Die Zahl der betroffenen Personen wird auf 50 bis 125 Millionen geschätzt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
90;CI0;TraPro;Text2;SE;3;Die Europäische Kommision (EC) setzt sich stark für die Lösung dieses Problems ein, beispelsweise mit dem jüngsten Start des Eu Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
91;CI0;TraPro;Text2;SE;4;Einer der von der EC ;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
92;CI1;TraPro;Text2;SE;5;Vor diesem Hintergrund verfolgt das (von der EU Commission im Sinne des Grant Agreement Nr. 12345 finanzierte) Projekt, an dem das Energy Consumption Research Institute beteiligt ist, das Ziel, Best Practices und Empfehlungen zur Minderung der Energiearmut bekanntzugeben.;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
93;CI1;TraPro;Text2;SE;6;Hierfür wird gemeinsam mit einer Beratergruppe, den sogenannten HEAs (Home Energy Advisors;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
94;CI2;TraPro;Text2;ELF;2;Energiearmut ist eine der grundlegenden sozialen, technischen und rechtlichen Herausforderungen in Europa heutzutage. Das Problem betrifft schätzungsweise  50 bis 125 Millionen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
95;CI2;TraPro;Text2;ELF;3;Die European Commission (EC) hat schon viel Arbeit darin investiert, dieses Problem zu lösen. Das zeigt sich am Beispiel des kürzlich gegründeten EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
96;CI2;TraPro;Text2;ELF;4;"EC betont insbesondere, dass es wichtig sei, von den Erfahrungen und ""best practices"" der verschiedenen Members states (MS) zu lernen.";Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
97;CI2;TraPro;Text2;ELF;5;Das;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
98;CI3;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen uns legislativen Probleme im heutigen Europa, mit einer geschätzten Anzahl Betroffener zwischen  50 und 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
99;CI3;TraPro;Text2;ELF;3;Die Europäische Kommission (EK) hat viel Mühe darauf verwendet, dieses Problem zu lösen, was sich beispielsweise durch die Lancierung des EU Energy Poverty Observatory im Januar  2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
100;CI3;TraPro;Text2;ELF;4;Einer der Punkte, welcher von der EK betont wird, ist die Wichtigkeit, von den Erfahrungen und besten Praktiken in den verschiedenen Mitgliedsstaaten zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
101;CI3;TraPro;Text2;ELF;5;Auf dieser Grundlage beabsichtigt das Pro;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
102;CI4;TraPro;Text2;SE;8;Bei diesem Projekt trägt das Enery Consuption Research Institute die Verantwortung für die technische Schulung der HEAs und für die Planung der Versuchsprojekte.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
103;CI4;TraPro;Text2;SE;9;In diesem Dokument werden die ersten Ergebnisse dieser beiden Aufgabenstellungen vorgestellt.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
104;CI4;TraPro;Text2;SE;10;"Im ersten Teil des Dokuments werden die Ergebnisse einer statistischen Analyse vorgestellt, die zum Ziel hatte, ""energiearme"" bzw. ""energiegefährdete"" Verbraucher zu definieren, da eine einheitliche Definition in Europa nicht existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
105;CI4;TraPro;Text2;SE;11;Das Haupthindernis bei der Durchführung der Analyse besteht darin, dass ;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
106;CI5;TraPro;Text2;ELF;6;Diese Berater werden gezielt dazu ausgebildet, die Pilottätigkeiten durchzuführen, indem energieanfällige Verbaucher (VC) dazu gebracht werden, ihren Stromverbauch zu optimieren (und nach Möglichkeit zu reduzieren). Dies geschieht in erster Linie durch Verhaltensänderungen.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
107;CI5;TraPro;Text2;ELF;7;In diesem Projekt ist das Energy Consumpion Research Institute für die technische Ausbildung der HEAs und die Planung der Pilottätigkeiten zuständig.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
108;CI5;TraPro;Text2;ELF;8;Im vorliegenden Artikel werden die ersten Ergebnisse der oben erwähnten Aufgaben präsentiert.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
109;CI5;TraPro;Text2;ELF;9;Im ersten Teil des A;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
110;CI6;TraPro;Text2;ELF;10;"Das Hauptproblem bei der Analysefindung ist, dass die Daten of lediglich für Standardindikatoren verwendet werden (z.B. tiefes Einkommen hohe Kosten) und dass diese Indikatoren nicht in in vielen Ländern verfügbar sind. Deshalb braucht es neue Ansätze, wie ""energieverletzliche Konsumenten definiert werden können. ";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
111;CI6;TraPro;Text2;ELF;11;"Zudem sind die unterschiedlichen, zur Verfügung stehenden Daten in EU-Ländern der Grund, weshalb eine fragmentierte und oft ""nicht kompatible"" Segmentierung in den verschiedenen Mitgliedstaaten geschieht. ";Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
112;CI6;TraPro;Text2;ELF;12;Um dieses Hinderhins zu überwinden, ist es notwendig, den Hintergrund zu definieren, hinter welchem die Pilotprojekte einbettet werden sollen (die Situation in den analysierten Mitgliedstaaten), und eine zweckdienliche Segmentierung vorzunehmen, indem die vorhandenen Statistikdaten analysiert und ausgewertet werden, welche ähnliche Indikatoren anwenden und kompatible sind mit den vorhandenen Inforationen. ;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
113;CI6;TraPro;Text2;ELF;13;Der zweite Teil d;Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.
114;CI7;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen und rechtlichen Probleme zurzeit in Europa, die geschätzte Zahl der Betroffenen liegt zwischen  50 und 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
115;CI7;TraPro;Text2;ELF;3;Die Europäische Komission hat in die Lösung dieses Problems viel investiert, was sich z.B. an der kürzlichen Lancierung des EU Energy Poverty Obeservatory im Januar 2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
116;CI7;TraPro;Text2;ELF;4;Die EC hat z. B. betont, wie wichtig es ist, von den Erfahrungen und Best Practices der einzelnen Mitgliedstaaten zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
117;CI7;TraPro;Text2;ELF;5;Vor diesem Hintergrund zielt das Projekt (das von der ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
118;CI8;TraPro;Text2;ELF;7;In dem Projekt ist das Energy Consumption Research Institute verantwortlich für die Ausbildung der HEAs sowie für die Planung der Pilotversuche.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
119;CI8;TraPro;Text2;ELF;8;Die vorliegende Arbeit sammelt die ersten Ergebnisse der zuvor erwähnten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
120;CI8;TraPro;Text2;ELF;9;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgefhrt wurde, um zu verstehen, wie ein ""energiearmer"" oder ""energiegefährdeter"" Verbraucher zu definieren ist, da eine allgemeine europäische Definition nicht existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
121;CI8;TraPro;Text2;ELF;10;Die grösste Hürde bei der Durchführung dieser Analyse besteht darin, dass die in der Regel für Standardindikatoren (z.B. nie;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
122;CI9;TraPro;Text2;SE;8;In diesem Projekt ist das Energy Consumption Research Institute zuständig für die technische Ausbildung der HEAs und die Planung der Pilotaktionen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
123;CI9;TraPro;Text2;SE;9;In diesem Paper werden die ersten Ergebnisse dieser zwei Aufgaben präsentiert.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
124;CI9;TraPro;Text2;SE;10;"Im ersten Teil des Papers werden die Ergebnisse einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um ""energiearme"" und ""energiegefährdete"" Verbraucher zu definieren, da keine für ganz Europa gültige Definition existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
125;CI9;TraPro;Text2;SE;11;Die grösste Schwierigkeit bei der Durchführung dieser Analyse;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
126;CJ0;TraPro;Text2;SE;10;"Der erste Teil des Artikels fasst die Ergebnisse einer statistischen Untersuchung zusammen, die durchgeführt wurde, um die Begriffe ""energiearm"" oder ""energieempfindlich"" zu definieren, da es keine übergeordnete europäische Definition dafür gibt.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
127;CJ0;TraPro;Text2;SE;11;Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die Daten, die oft für Standardindikatioren(z. B. Tiefes Einkommen, hohe  Kosten) in viele Ländern gar nicht verfügbar sind. Deshalb müssen neue Möglichkeiten erforscht werden, um den Begriff des energieempfindichen Verbrauchers zu definieren.;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
128;CJ0;TraPro;Text2;SE;12;Zudem führen die Unterschiedein den Daten, die in EU-Ländern zur Verfügung stehen, zu fragmentierten und oft inkompatiblen Verbrauchersegmentierungen in den Mitgliedsländern.;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
129;CJ0;TraPro;Text2;SE;13;Um dieses Problem zu lösen, ist es nötig, einen Hintergrund zu definieren, gegen den die Pilotmassnahmen umgeset;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
130;CJ1;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme der heutigen Zeit in Europa. Das Problem betrifft zwischen  50 und 125 Millionen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
131;CJ1;TraPro;Text2;ELF;3;Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um das Problem zu lösen, wie zum Beispiel das im Januar 2018 lancierte Programm EU Energy Poverty Observatory.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
132;CJ1;TraPro;Text2;ELF;4;Einer der von der EK betonten Punkte ist die Wichtigkeit, von den  Erfahrungen und Best Practices in den verschiedenen Mitgliedsstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
133;CJ1;TraPro;Text2;ELF;5;Vor diesem Hintergrund zielt das Projekt (finanziert durch die EK unter dem Grant Agreement Nr. 12345) darauf ab;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
134;CJ2;TraPro;Text2;SE;9;Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
135;CJ2;TraPro;Text2;SE;10;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um ""energiearm"" oder ""energie-vulnerable"" VerbraucherInnen zu definieren, da es keine europäische Definition gibt.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
136;CJ2;TraPro;Text2;SE;11;Das Haupthdernis bei dieser Analyse besteht darin, dass die Daten, die oft für Standard-Indkatoren (z.B. niedriges Einkommen - hohe Kosten) für viele Länder nicht zur Verfügung stehen, daher mussten neue Wege erkundet werden, um energie-vulnerable KonsumentInnen zu definieren.;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
137;CJ2;TraPro;Text2;SE;12;Darüber hinaus führen die Unterschiede in den jeweis in den EU-Staaten verfügbaren Daten zu bruchstückhaften und oft inkompatiblen Verbrauchersegmentationen in den Mitgliedsstaaten.;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
138;CJ2;TraPro;Text2;SE;13;Um diese Hürde zu beseitigen, ist es notwendig, den Hintergrund, vor dem die Pilotprojekte umgesetzt werden sollen (die Situation in den jeweiligen ;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
139;CJ3;TraPro;Text2;ELF;8;In dieser Arbeit werden die ersten Ergebnisse der vorher erwähnten Aufgaben gesammelt.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
140;CJ3;TraPro;Text2;ELF;9;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie ""energiearme"" oder ""energiegefährdete"" Verbraucher zu definieren sind, da keine gemeinsame europäische Definition existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
141;CJ3;TraPro;Text2;ELF;10;"Ein Haupthindernis bei der Durchführung dieser Analyse ist, dass die Daten, die häufig für Standardindikatoren verwendet werden (zum Beispiel tiefes Einkommen, hohe Kosten) in vielen Ländern nicht verfügbar sind. Es mussten also neue Wege erforscht werden, um zu verstehen, was ein ""energiegefährdeter Verbraucher"" ist.";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
142;CJ3;TraPro;Text2;ELF;11;"Zudem führen die verschiedenen in der EU verfügbaren Daten zu einer bruchstückhaften und oft ""nicht kompatiblen"" Segmentierung in einigen Mitgliedsstaaten.";Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
143;CJ3;TraPro;Text2;ELF;12;Um dieses Hindernis zu überwinden, muss der Hintergrund, vor welchem die Pilotaktionen eingeführt werd;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
