"rand_index","index","translation","fluency"
189,283,"Energiearmut, mit etwa  50 bis 125 Millionen Betroffenen, ist eines der grössten sozialen, technischen und legilativen Probleme der jetzige Zeit in Europa.",""
190,138,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen hat möglicherweise einen Einfluss auf den Energieverbrauch.",""
191,401,"Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.",""
192,356,"Energiearmut ist eines der grössten sozialen, technischen  und gesetzgeberischen Probleme des heutigen Europa. Die Zahl der betroffenen Personen wird auf 50 bis 125 Millionen geschätzt.",""
193,318,"Die europäische Komission (EK) beschäftigt sich intensiv damit, dieses Problem zu lösen. Die neuliche Lancierung des E",""
194,413,"Der erste Teil des Papers fasst die Resultat einer statistischen Analyse zusammen, die durchgeführt wurde, um den Begriff ""energy poor"" oder ""energy vulnerable"" Konsument richtig zu deuten, da eine einheitliche europäische Definition nicht existiert.",""
195,219,"Obwohl das Konservation-Verhalten von Personen mit hohen biosphärischen Werten gut dokumentiert ist in der Literatur, ist wenig bekannt über die Konsumenten antworten im Vergleich.",""
196,419,"Die Europische Kommission (EC) bemht sich umfassend um die Lösung desProblems, wie die  jüngste Einfhrung des EU Energy Poverty Observatory im Januar 2018 zeigt.",""
197,491,"Diese Studie sammelt die ersten Resultate der oben genannten Aufgaben.",""
198,199,"Ein zweiter Ansatz dieses Berichts ist, mögliche Mechanismen zu testen, die den HEr effektiv machen.",""
199,504,"Energiearmut ist eines der wichtigsten sozialen, technischen und gesetzgeberischen Probleme in Europe in der Gegenwart, wobei die geschätzte Anzahl der Betroffenen von 50 bis 125 Millionen reicht.",""
200,513,"Einer der Punkte, der vom EC unterstrichen wird, ist, dass durch Erfahrung und von den besten Ansätzen diverser Mitgliedstaaten gelernt werden müsse.",""
201,118,"In diesem Paper anaylsieren wir, ob Sozialvergleiche einen Effekt auf den Wasserverbrauch haben, und ob dieser Effekt davon abhängig ist, wie stark eine Person ökologische Wertvorstelungen gewichten.",""
202,9,"So zeigt die Studie zum Beispiel, dass, wenn Menschen ihr Verhalten mit dem Anderer vergleichen, ähnliche Menschen dazu ermutigt werden, ihr Energie- und Wasserverbrauch, ihre Mithilfe an gemeinnützigen Projekten und ihr Sparverhalten zu ändern.",""
203,62,"Trotz des wachsenden Interesses an Forschung zu sozialen Vergleichen sind noch einige Fragen offen.",""
204,12,"Zweitens, während Werte betreffend Umwelt dazu tendieren, bei allen während dem ganzen Leben stabil zu bleiben, kann die Umwelt-Selbstidentität beeinflusst werden, zum Beispiel, durch Informationen zum Energiesparen.",""
205,507,"Energiearmut ist eines der Hauptprobleme  Europas sowohl sozial, technologisch wie auch gesetzlich mit einer Anzahl von geschätzt 50 bis 125 Millionen betroffenen Menschen.",""
206,481,"Die Europäisch Koommision (EC) hat einen grossen Aufwand betrieben, um dieses Problem zu bewältigen, wie sie es zum Beispiel mit dem kürzlichen Start der EU Energie Armut Beobachtung im Janurat 2018 gezeigt haben- ",""
207,207,"Trotz des wachsenden Interesse in die Forschung an Sozialem Vergleich bleiben einige offene Fragen",""
208,165,"Zuerst wurd getestet, ob der HER die Wahrnehmungen der Personen von Normen im Bereich der Energiekonservierung beeinflusst.",""
209,11,"Vor allem ist nicht viel bekannt über die Quellen der Heterogenität, die man in Effekten von klassischen sozial",""
210,443,"Die Europäische Kommission (EK) hat viel Aufwand betrieben, um dieses Problem zu lösen, wie zum Beispiel mit dem kürzlichen Startschuss der Eu Energy Poverty Observatory im Januar 2018 gezeigt wurde.",""
211,341,"Einer der wichtigsten Punkte, die die EC anführt, ist die Wichtigkeit aus der Erfahrung und den besten Praktiken in den verschiedenen Mitgliedsstaaten (MS) zu lernen.",""
212,418,"Energiearmut gehört zu den wichtigsten gesellscahftlichen, technischen und gesetzlichen Problemen aktuell in Europa, mit geschätzten 50 bis 125 Millionen Menschen, die betroffen sind.",""
213,428,"Die Europäische Kommission (EC) hat viel darin investiert, dieses Problem zu lösen. Dies zeigt zum Beispiel die kürzliche Lancierung der Beobachtungsinstitutions EU Energy Poverty Observatory im Januar 2018.",""
214,298,"Das Hauptziel bei der Durchführung dieser Analyse ist, dass die Daten, welche oftmals für Standardindikatoren (z. B. Tiefes-Einkommen Hohe-Kosten) genutz werden,",""
215,421,"Vor diesem Hintergrund möchte das hier vor",""
216,136,"Ein zweites Ziel dieses Papers ist das Testen möglicher Mechanismen, die den HER effektiv machen.",""
217,198,"Trotz wachsendem I",""
218,313,"Eines der zentralen Punkte für die EC war die Wichtigkeit",""
219,296,"Diese Studie sammelt die ersten Resultate der oben erwähnten Aufgaben.",""
220,127,"Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm im Bereich Energiesparen verändert.",""
221,326,"Die grösste Hürde bei dieser Analyse ist, dass die Daten, die oft als Standardindikatoren genutzt werden (z.B. geringes Einkommen hohe Kosten), in vielen Ländern nicht verfügbar sind, weswegen neue Wege für eine Definition energiegefährdeter Konsumenten ",""
222,166,"Eine erhöhte Wahrnehmung der Norm, Energie zu sparen, könnte dann einen Einfluss auf den Energiekonsum haben.",""
223,54,"Trotz des wachsenden Interesses an Untersuchungen zu sozialem Vergleich verbleiben zahlreiche offene Fragen.",""
224,292,"Die European Commission (EC) hat durch die Lancierung des EU Energy Poverty Observatory in Januar 2018 gezeigt, wie viel Effort momentan in die Lösung dieses Problems investiert wird.",""
225,32,"Trotz wachsendem Interesse an Forschung im Bereich sozialer Vergleich gibt es noch einige Fragen zu klären.",""
226,268,"Ein weiteres Ziel dieses Artikels ist es, mögliche Mechanismen zu testen, die HER effektiv machen.",""
227,78,"Eine stärkere Wahrnehmung der Norm in Richtung Energieeinsparung kann dann den Energieverbrauch beeinflussen.",""
228,17,"Eine weitere Frage, welche sich gestellt hat, ist was die Beweggründe des individuellen handelns als Reaktion auf die von Opower's HER hat. ",""
229,352,"Die Hauptschwierigkeit bei der Durchführung dieser Analyse besteht darin, das die Daten, welche für Standardindikatoren (z. B. Tiefes Einkommen Hohe Kosten) nötig sind, in vielen Ländern nicht verfügbar sind, so dass neue Wege gefunden werden müssen, um eine Defintion für energieschwache Konsumenten zu finden.",""
230,59,"Die Forschung zeigt zum Beispiel, dass der Vergleich des Handelns und Tuns de",""
231,93,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Reihe verschiedener Settings aufgezeigt.",""
232,330,"Des weiteren führen die Unterschiede zwischen den in den EU-Ländern verfügbaren Daten zu fragmentierten und oft inkompatiblen Segmentierungen der Konsumenten in den Mitgliedsstaaten.",""
233,61,"Die Forschung hat gezeigt, dass Menschen Ihren Energie- und Wassergebrauch, Ihre Spenden für wohltätige Zwecke und ihre Sparentscheide anpassen, wenn man ihnen sagt, wie ihre Handlungen im Vergleich mit denen anderer, ähnlicher Menschen ausfallen.",""
234,482,"In diesem Projekt ist die Energy Consumption Research Institure zuständig für das technische Training der HEAs und für die Planung der pilot actions.",""
235,361,"Energiearmut ist eine der grundlegenden sozialen, technischen und rechtlichen Herausforderungen in Europa heutzutage. Das Problem betrifft schätzungsweise  50 bis 125 Millionen Menschen.",""
236,457,"Mit diesem Gedanken beibehalten; das Projekt hier (welches von der EU  Kommission unter dem ",""
237,176,"So hat die Forschung gezeigt, dass Menschen, deren Verhalten jenem vergleichbarer Personen gegenübergestellt wird, diese ermutigt, ihren Energie- und Wasserverbrauch zu reduzieren und ihren Beitrag zu wohltätigen Zwecken sowie Entscheide zu Einsparungen zu verändern.",""
238,87,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte den Energieverbrauch beeinflussen.",""
239,214,"Zum Beispiel, Forschungen zeigen dass das vergleichen von Handlungen mit denen Anderer, ähnliche Menschen ermutigt ihren Energie- und Wasserverbrauch an zu passen, ihre Beteiligung an gutnützige Ziele, und sparr Entscheidungen anzupassen.",""
240,459,"Die Europäische Kommission hat eine grosse Menge Arbeit in die Lösung dieses Problems gesteckt, wie gezeigt, zum Beispiel durch die kürzliche Veranstaltung des Eu EnergyPoverty Obsevatory im Janur 2018",""
241,21,"Zum Beispiel zeigt die Forschung, dass es Menschen ermutigt, ihr Energie- und Wasserverbrauch, ihr Beitrag an Wohltätigkeit, und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie ihre Taten mit denen von anderen, ähnliche",""
242,510,"M",""
243,368,"Auf dieser Grundlage beabsichtigt das Pro",""
244,287,"Energiearmut is eine der Hauptprobleme betreffend Sozialem, Technischem und Legislativem in der heutigen Zeit in Europa. Die geschätzte Anzahl Personen, die betroffen sind, beträgt zwischen 50 und 125 Millionen.",""
245,493,"Das grösste Hindernis beim Durchführen dieser Analyse ist, dass die Daten, welche häufig als Standardindikatoren verwendet werden ( bspw. Tiefes-Einkommen, Hohe-Kosten), in vielen Ländern fehlen. Dadruch müssen neue Wege zur Bestimmung eines ""energie-verletzlichen-Ko",""
246,403,"Das Haupthdernis bei dieser Analyse besteht darin, dass die Daten, die oft für Standard-Indkatoren (z.B. niedriges Einkommen - hohe Kosten) für viele Länder nicht zur Verfügung stehen, daher mussten neue Wege erkundet werden, um energie-vulnerable KonsumentInnen zu definieren.",""
247,327,"Dieses Schreiben präsentiert die Ergebnisse der beiden Aufgaben.",""
248,153,"In diesem Paper testen wir den Effekt solialen Vergleichens auf energiesparendes Verhalten und ob dieses davon abhängt, inwieweit einzelne Personen ein hohes Umweltbewusstsein haben.",""
249,325,"Der erste Teil des Papers fasst die Ergebnisse einer statistischen Analyse zusammen, die ""energiearme"" oder ""energiegefährdete"" Konsumenten definieren sollte, da eine gemeinsame europäische Definition nicht existiert.",""
250,4,"Zum Beispiel haben Untersuchungen gezeigt, dass sich die Einstellung gegenüber Energie- und Wasserverbrauch, Spenden und Sparverhalten verändert, sobald man mit ähnlichen ",""
251,97,"Trotz des steigenden Interesses an sozialer, komparativer Forschung bleiben jedoch viele Fragen unbeantwortet.",""
252,239,"Eine weitere wichtige Lücke in der Literatur bildet da Verstehen von den Mechanismen der Reaktionen der Individuen auf das HER von Opower in Bezug auf ihre Energieverbrauch.",""
253,349,"Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptproblematik im heutigen Europa. Es wird geschätzt, dass run 50 bis 125 Millionen Menschen davon betroffen sind.",""
254,422,"Diese Studie fasst die ersten Ergebnisse zu den zuvor erwähnten Aufgaben zusammen.",""
255,297,"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert.",""
256,288,"Die European Commission (EC) hat grossen Aufwand betrieben, um dieses Problem zu lösen, wie zum Bespiel der kürzliche Launch des EU Energy Poverty Observatory im Januar 2018 gezeigt hat.",""
257,102,"Zuerst testen wir, ob der HER die Wahrnehmung von Einzelpersonen bezüglich Normen im Bereich Energiesparen beeinflusst.",""
258,469,"Energiearmut ist eine der sozialen, technischen und leglislativen Hauptprobleme im aktuellen Europa, da die geschätzte Zahl von betroffenen Menschen zwischen 50 und 125 Millionen liegt.",""
259,237,"Trotz einem wachsendem Interesse in Sozialen Vergleich Versuchen, bleiben aber viele Fragen offen.",""
260,270,"Die Energieärmlichkeit ist eines der wichtigsten sozialen, technischen und legislativen Problmen in der heutigen Zeit in Europa. Es sind ungefähr 50 bis 125 Millionen Menschen davon betroffen.",""
261,320,"Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.",""
262,440,"Die grösste Hürde im Durchführen dieser Analyse ist, dass die Daten, welche für Standardindikatoren (wie tiefes Einkommen und hohe Kosten) gebraucht werden, nicht erhältlich sind für einige Länder, weswegen neue Wege für das Verstehen, was ein ""energieverletzlicher Konsument"" ist, erkundet werden müssen. ",""
263,144,"Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
264,111,"Erstens testen wir, ob der HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst. ",""
265,187,"Während Umweltwerte dazu tendiere, im Leben der Leute stabil zu bleiben, kann umweltbezogene Selbst-Identität beeinflusst werden, zum Beispiel von Information ",""
266,391,"Im ersten Teil des Papers werden die Ergebnisse einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um ""energiearme"" und ""energiegefährdete"" Verbraucher zu definieren, da keine für ganz Europa gültige Definition existiert.",""
267,398,"Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um das Problem zu lösen, wie zum Beispiel das im Januar 2018 lancierte Programm EU Energy Poverty Observatory.",""
268,220,"In diesem Paper testen wir ob es einen Effekt auf den Sozialen Vergleich der Energie Konservatin gibt und ob dieser Effekt vom Ausmass der gelebten hohen ökologischen Werte der Individuen abhängig ist.",""
269,77,"So ist zum Beispiel relativ wenig über die Heterogenitätsquell",""
270,262,"Der Einfluss gesellschaftlicher Informationen auf das Verhalten wurde in einer Anzahl verschiedener Settings gezeigt.",""
271,415,"Es macht dies, inden es eine Serie von Pilottätigkeiten mit einer Gruppe von Heas (Home Energy Advisors) implementiert. Pilotaktionen oben",""
272,414,"Die grösste Herausforderung bei der Durchführung diese Analyse bestand darin, dass Daten oft für Standardangaben (z.B. Tiefes Einkommen Hohe Kosten) nicht in allen Ländern vorhanden sind. So mussten neue Wege gefunden werden, um """,""
273,502,"Mit diesem Hintergrund versucht das hier vorgestellte Projekt, das von der EU Kommission unter dem Grant Agreement 12345 finanziert wurde und welches das Consumption Resaerch Institute als Partner hat,die besten Praktiken und Empfehlungen zu finden um Energiarmut anzugehen.",""
274,406,"In dieser Arbeit werden die ersten Ergebnisse der vorher erwähnten Aufgaben gesammelt.",""
275,475,"Diese Arbeit sammelt die ersten Resultate der oben genannten Aufgaben.",""
276,372,"Das Haupthindernis bei der Durchführung der Analyse besteht darin, dass ",""
277,309,"In diesem Paper werden die ersten Ergebnisse dieser beiden Aufgaben präsentiert.",""
278,290,"Dies im Auge behaltend, zielt d",""
279,70,"Der Einfluss von sozialen Informationen auf das Verhalten wurde in verschiedenen Settings gezeigt.",""
280,434,"Energiearmut ist eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme der heutigen Zeit in Europa mit geschätzten 50 bis 125 Millionen Betroffenen.",""
281,484,"Der erste Teil des Berichts fasst die Resultate einer statistischen Analyse zusammen, welches in Stande gesetzt wurde, um die ""energie-armen"" oder ""energie-empfindlichen"" Konsumenten zu definieren, da keine allgemeine europäische Definition existiert.",""
282,47,"Ein weiteres Ziel dieses Artikels ist es, die mö",""
283,267,"HER vermittelt verschiedene Elemente, von einem statischen Nachbarvergleich bezüglich ENergieverbrauch (deskriptive Norm), hin zu Rückmeldungen darüber, wie gut ein Individuum performt (injunktive norm), sowie Tipps zum Energiesparen.",""
284,367,"Einer der Punkte, welcher von der EK betont wird, ist die Wichtigkeit, von den Erfahrungen und besten Praktiken in den verschiedenen Mitgliedsstaaten zu lernen.",""
285,256,"In unserem Paper spekulieren wir, dass Umweltbewusstsein eine wichtige Quelle der Heterogenität darstellt in Bezug auf den Effekt der Opower Vergleichsstudie.",""
286,498,"Energiearmut ist eines der wichtigsten sozialen, technischen und gesetgeberischen Probleme im Moment in Europa mit einer geschätzen Zahl von 50 bis 125 Millionen Betroffener.",""
287,252,"Der Einfluss von sozialer Information auf das Verhalten ist in einer Vielzahl von Umgebungen nachgewiesen worden.",""
288,152,"W",""
289,185,"Zuerst testen wir ob der HER die Empfindung der Individuen von Normen in dem Raum der Energiesparens beeinflusst.",""
290,265,"So ist vor allem in Bezug auf die Herkunft der Heterogenität der Wirkung beka",""
291,346,"Die European Commission (EC) hat viel dafür getan, um dieses Problem zu lösen, wie beispielsweise die kürzliche Einführung der EU Energy Poverty Observatory im Januar 2018 gezeigt hat.",""
292,236,"Zum Beispiel indizieren Versuche, dass bei Leuten denen gesagt wird, wie sie sich mit vergleichbaren Menschen schlagen, die Leute ihre Energie und Wasserkonsum, ihre Kontribution zu Spende-Zwecken und Ihre Spar-Entscheidungen verbessernn.",""
293,126,"Ein zweites Ziel dieses Artikels ist  es, mögliche Mechanismen zu testen, die den HER wirksam machen.",""
294,302,"Der erste Teil der Arbeit fasst die Reu",""
295,189,"Forschung zeigt, dass wenn man Leuten erzählt wie ihre Aktionen verglichen mit denen von anderen ähnlichen Leuten sind, es dazu führt das sie ihren Energie und Wasser Verbrauch, ihre Kontributionen zu ",""
296,139,"Zweitens, während äussere Werte im Lauf des Lebens meist stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen zum Energiesparen.",""
297,294,"Unter diesen Rahmenbedingungen v",""
298,453,"Einer der meist betonten Punkte der EC ist die Wichtigkeit aus Erfahrungen und den besten Umsetzungsmethoden der verschiedenen Mitg",""
299,351,"Ein Punkt, den die EK besonders hervorgehoben hat, ist die Bedeutung, die dem Lernen aus Erfahrung und aus den Best Practices aus den verschiedenen Mitgliedstaaten (MS) beigemesse",""
300,306,"Vor diesem Hintergrund versucht das hier erwähnte Projekt (von Der EU-Kommission",""
301,242,"Zunächst, testen wir ob das HER die Wahrnehmung der Normen des Einzelnen beeinflusst im Bereicht der Energiekonservation.",""
302,359,"Vor diesem Hintergrund verfolgt das (von der EU Commission im Sinne des Grant Agreement Nr. 12345 finanzierte) Projekt, an dem das Energy Consumption Research Institute beteiligt ist, das Ziel, Best Practices und Empfehlungen zur Minderung der Energiearmut bekanntzugeben.",""
303,44,"Der HER besteht aus verschiedenen Bestandteilen: einen statischen Vergleich bezüglich des Energieverbrauchs mit den Nachbarn (deskriptive Norm), ",""
304,449,"Die Europäische Kommission (EC) hat viel Aufwand in die Lösung dieses Problems gesteckt, wie beispielsweise mit dem kürzlichen Beginn des EU Energy ",""
305,179,"Zum Beispiel, vergangene Befunde zeigen, dass, wenn man Leuten erzählt wie ihre Tätigkeiten mit denjenigen von anderen verglichen werden, es sie ermutigt, ihren Energie- und Wasserverbauch, ihre Beiträge zu gemeinnützigen Organisationen und ihre Sparverhalten zu verändern. ",""
306,319,"In diesem Projekt ist das Energy Comsumption Research Institute für das technische Training der HEAs und die Planung der Pilotprojekte zuständig.",""
307,364,"Das",""
308,194,"Zum Beispiel, zeigt die Recherche, dass den Menschen zu sagen wie sich ihre Reaktion mit anderen vergleichen, ähnliche Menschen ermutigt ihre Enegie und Wasserkonsumation, ihr Beitrag zum guten Zweck und ihre Spar Entscheidungen anzupassen.",""
309,400,"Vor diesem Hintergrund zielt das Projekt (finanziert durch die EK unter dem Grant Agreement Nr. 12345) darauf ab",""
310,289,"Eine der Punkte, die die EC betont, ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in anderen Mitgliedsstaaten (MS) verwendet werden.",""
311,272,"Ein Punkt vom EC ist die Wichtigkeit von Erfahrungen zu lernen und die beste Praktis an ",""
312,350,"Die Europäische Kommission (EK) hat viel Mühe darin gesteckt, die Problematik zu lösen, wie sich am Beispiel des im Januar 2018 gestarteten EU Energy Poverty Observation zeigt.",""
313,450,"Mit diesem Gedanken, das Projekt (gesponsert von der EU Kommission unter dem Einverständnis n. 12345) von dem das Energy Consumption Research Institute ein Partner ist, versucht die besten Praktiken und Empfehlungen um Energie Armut anzusprechen von ",""
314,363,"EC betont insbesondere, dass es wichtig sei, von den Erfahrungen und ""best practices"" der verschiedenen Members states (MS) zu lernen.",""
315,437,"Vor diesem Hintergrund ",""
316,474,"Im Projekt ist das Energy Consumption Research Institute für die technische Ausbildung der HEAs und die Planung der Pilotaktionen zuständig.",""
317,190,"Während das Konservierungsverhalten von Menschen mit hohen biosphärischen Werten vielfach in der Literatur erforscht wurde, weiss man nur wenig über die Reaktionen dieser Individuen auf Peer-Vergleiche.",""
318,191,"In dieser Arbeit testen wir den Effekt des sozialen Vergleichs der Energiekonservierung und ob dies mit der Höhe des Umweltbewusstseins zusammenhängt.",""
319,269,"Zuerst testen wir ob HER die individuelle Wahrnehmung von Norm in der Energeckp",""
320,79,"Zweitens bleiben umweltbezogene Einstellungen während des Lebens mehrheitlich stabil, während umweltbezogene Selbstidentität beeinflusst werden kann, beispielsweise durch Informationen über den Energieverbrauch.",""
321,295,"In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.",""
322,26,"Ein zweites Ziel der Arbeit ist das Testen möglicher Mechanismen, die zur Wirkung von HER beitragen.",""
323,90,"Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Personen zugunsten der Umwelt.",""
324,446,"Einer der Punkte der von der EC hervorgehoben wurde ist die Wichtigkeit des Lernens durch Erfahrung und von den besten Sachen die ausgeführt werden in verschiedenen Mitgliedsstaaten (MS).",""
325,25,"Das HER ",""
326,497,"Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg",""
327,323,"In diesem Projekt ist das Energy Consumption Research Institute verantwortlich für die technische Ausbildung der HEAs und für die Planung der Pilotaktionen.",""
328,217,"In unserem Forschungsbericht, hypothesieren wir d",""
329,499,"Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um dieses Problem zu lösen, was sich beispielsweise in der kürzlich von Statten gegangenen Einführung der EU Energiearmutsbeobachtung im Januar 2018 zeigt.",""
330,395,"Zudem führen die Unterschiedein den Daten, die in EU-Ländern zur Verfügung stehen, zu fragmentierten und oft inkompatiblen Verbrauchersegmentierungen in den Mitgliedsländern.",""
331,407,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie ""energiearme"" oder ""energiegefährdete"" Verbraucher zu definieren sind, da keine gemeinsame europäische Definition existiert.",""
332,43,"Des Weiteren wurde in der Forschung die Mechanismen hinter der individuellen Reaktion auf den Opower Home Energy Report (HER) im Bereich des Energieverbrauchs noch nicht genügend untersucht.",""
333,277,"Energiearmut ist eines der Hauptprobleme in Europa, von welchem  bis  Millionen Menschen auf sozialer, technischer und ausführender Ebene betroffen sind.",""
334,161,"Der HER enthält verschiedene Elemente: statischer Vergleich unter Nachbarn des Energieverbrauchs (eine deskriptive Norm), Feedback zur Eigenleistung (eine injunktive Form) sowie Tipps zum Energiesparen.",""
335,452,"Die Europäische Kommission (EC) hat sich schon sehr stark bemüht, dieses Problem zu lösen. So wie z.B. bei der kürzlichen Einführung des Eu Energy Poverty Ovservatory im Januar 2018.",""
336,28,"Eine bewusstere Wahrnehmung einer Norm im Zusammenhang mit Energie sparen könnte den Energieverbrauch beeinflussen.",""
337,235,"Die Influenz von sozialen Informationen auf das Verhalten wurde in verschiedenen Einstellungen demonstriert.",""
338,202,"Zweitens, während das Umweltbewusstsein in jedermann'""s Leben gleichbleibend zu sein scheint, kann die eigene Umweltidentität beeinflusst werden, zum Beispiel durch Informationen bezüglich der Energiesparung.",""
339,515,"Es tut dies mit dem Einsatz einer Serie von Pilotaktionen mit einer Gruppe von Beratern namens HEAs (Home Energy Advisors).",""
340,243,"Eine stärkere Wahrnehmung der Norm Energie zu konservieren könnte dann die En",""
341,209,"In unserem Bericht spekulieren wir, dass Werte, die das Umweltbewusstsein betres",""
342,95,"Der Einfluss von sozialen Aspekten auf das Verhalten wurde in einer Mehrzahl von Situationen gezeigt.",""
343,383,"Die EC hat z. B. betont, wie wichtig es ist, von den Erfahrungen und Best Practices der einzelnen Mitgliedstaaten zu lernen.",""
344,216,"Spezifisch, relativ wenig ist bekannt über die Herkunft der Heterogenität des beobachteten Effekts von classic social comparison experiments, wie dem Opowers Home Electricity Report program.",""
345,99,"Eine andere entscheidende Kluft in der Forschung ist das Verständnis der Mechanismen hinter den Reaktionen von Einzelpersonen auf Opowers Her in Bezug auf Energieverbrauch.",""
346,344,"Diese ""Advisors"" wurden  speziell ausgebildet, um diese  Pilotaktionen einzuführen. Unter diesen Aktionen gehen z.B. das Bilden von Energiekonsumenten, um deren Konsum zu optimieer",""
347,445,"Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl",""
348,427,"Energiearmut ist gegenwärtig eines der grössten sozialen, technischen und legislativen Problemen Europas mit  50 bis 125 Millionen betroffenen.",""
349,116,"Diese Analyse kombinier",""
350,213,"Der Einfluss von sozialen Informationen auf das Verhalten wurde in zahlreichen Umgebungen gezeigt.",""
351,18,"Die HER enthält verschiedene Elemente. Dazu gehören Vergleiche zum Energieverbrauch der Nachbaren (eine deskriptive norm), feedback zur individuellen norm (eine injunktive Norm) sowie energiespartipps. ",""
352,392,"Die grösste Schwierigkeit bei der Durchführung dieser Analyse",""
353,371,"Im ersten Teil des Dokuments werden die Ergebnisse einer statistischen Analyse vorgestellt, die zum Ziel hatte, ""energiearme"" bzw. ""energiegefährdete"" Verbraucher zu definieren, da eine einheitliche Definition in Europa nicht existiert.",""
354,55,"Es ist besonders wenig bekannt über die Ursprünge von Heterogenität imzuge eines bekannten Experiments zu sozialem Vergleich, wie etwa das von Dem  Opower-Programm durch den Home Exlectricity Report bereitgestellte.",""
355,405,"Um diese Hürde zu beseitigen, ist es notwendig, den Hintergrund, vor dem die Pilotprojekte umgesetzt werden sollen (die Situation in den jeweiligen ",""
356,465,"Energie Armut ist eine der grössten sozialen, technischen und legislativen Probleme des gegenwertigen Europas, mit einer geschätzten Nummer von 50 bis 125 Millionen betroffenen Personen.",""
357,68,"Eine weitere wichtige Forschungslücke  sind das Verstehen der Mechanismen hinter der Reaktion eines Individuums auf den OPower Home Energy Report (HER) in Bezug auf den Energieverbrauch.",""
358,5,"Das Konservationsverhalten von Leuten mit hohen biosphärischen Werten wurde in der Literatur ausführlich studiert, es ist jedoch sehr wenig über die ""Individual zu Kollegen"" Vergleiche bekannt.",""
359,461,"Auf dieser Grundlage zielt das hier berichtete Projekt (gegründet con der EU Kommission durch das Gran Agreement Nr.12345), ",""
360,518,"Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.",""
361,487,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse, die ausgefuert wurde um zu verstehen wie ein EnergieArmer oder Energie-verletzbarer Konsument definiert wird, zusammen, da keine geminsame Europaeische Defintion besteht.",""
362,303,"Energiearmut ist heute eines der sozialen, technischen und legislativen Hauptthemen in Europa und betrifft laut Schätzungen zwischen  50 und 125 Millionen Menschen.",""
363,255,"Insbesondere, weiss man relative wenig über den Ursprung der Heterogenität in Bezug auf den Effekt eines wohlbekannten Experimentes mit sozialen Vergleichen, wie es im Opower Programm zur Verfügung gestellt wird.",""
364,162,"Der Einfluss sozialer Informationen auf das Verhalten  konnte in mehreren Settings aufgezeigt werden.",""
365,8,"Die HER besteht aus verschiedenen Elementen. Es zieht folgende Elemente mit ein: einen statischen Nachbarsvergleich des Energieverbrauchs (eine deskriptive Norm), Rückmeldung zu individuellen Leistungen (eine injunktive Norm) und Tipps zum Energie",""
366,402,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um ""energiearm"" oder ""energie-vulnerable"" VerbraucherInnen zu definieren, da es keine europäische Definition gibt.",""
367,387,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgefhrt wurde, um zu verstehen, wie ein ""energiearmer"" oder ""energiegefährdeter"" Verbraucher zu definieren ist, da eine allgemeine europäische Definition nicht existiert.",""
368,299,"Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.",""
369,429,"Einen der Punkte, welche das EC hervorhebt, ist, wie wichtig es ist, von Erfahrungen und besten Praktiken der verschiedenen Mitgliedsstaaten (MS) zu lernen.",""
